date,description,amount,category.name,category.parentName
2022-12-01,MARIANOS 522,-11.91,Groceries,Food & Dining
2022-12-01,MARIANOS 522,-39.86,Groceries,Food & Dining
2022-11-30,SP BIOCLARITY,-51.6,Shopping,Root
2022-11-30,MARIANOS 522,-15.66,Groceries,Food & Dining
2022-11-29,MARIANOS 522,-25.6,Groceries,Food & Dining
2022-11-28,STARBUCKS STORE 62850,-8.07,Coffee Shops,Food & Dining
2022-11-28,2TWENTY2 TAVERN,-38.0,Restaurants,Food & Dining
2022-11-28,Cell phone Aug - Dec pt 2,-78.0,Mobile Phone,Bills & Utilities
2022-11-28,Cell phone Aug - Dec pt 1,-132.0,Mobile Phone,Bills & Utilities
2022-11-27,TARGET        00032078,-5.5,Shopping,Root
2022-11-27,ACT*Chicago Park Distr,-43.72,Entertainment,Root
2022-11-27,TST* Roberts Pizza and D,-118.85,Restaurants,Food & Dining
2022-11-27,MARIANOS 522,-9.67,Groceries,Food & Dining
2022-11-27,VENTRA MOBILE,-5.0,Public Transportation,Auto & Transport
2022-11-25,MARIANOS 522,-27.86,Groceries,Food & Dining
2022-11-24,movie on prime,-4.0,Movies & DVDs,Entertainment
2022-11-24,ALDI 40003,-16.78,Groceries,Food & Dining
2022-11-24,MARIANOS #522,-57.68,Groceries,Food & Dining
2022-11-24,1193 GREAT CLIPS AT LI,-26.0,Hair,Personal Care
2022-11-23,PAPA JOHN'S #3999,-20.31,Fast Food,Food & Dining
2022-11-23,TARGET        00023739,-12.96,Shopping,Root
2022-11-23,TARGET        00023739,-30.49,Shopping,Root
2022-11-20,MARQUEE LOUNGE INC,-27.77,Alcohol & Bars,Food & Dining
2022-11-20,SUMMER HOUSE SANTAMONICA,-264.16,Restaurants,Food & Dining
2022-11-20,MARIANOS 522,-21.64,Groceries,Food & Dining
2022-11-19,pizzzaaaa way back when,-30.0,Restaurants,Food & Dining
2022-11-19,ALDI 40003,-130.14,Groceries,Food & Dining
2022-11-19,Summer house,132.0,Income,Root
2022-11-18,TARGET        00023739,-64.65,Shopping,Root
2022-11-18,APPLE.COM/BILL,-1.99,Electronics & Software,Shopping
2022-11-17,ACH Deposit Internet transfer from account ending in 0320,442.26,Transfer,Root
2022-11-17,OPS* SOMERSET PLACE 2,-30.0,Laundry,Personal Care
2022-11-16,MARIANOS 522,-29.88,Groceries,Food & Dining
2022-11-15,MARIANOS #522,-65.3,Groceries,Food & Dining
2022-11-15,MEIJER # 130 FUEL,-76.3,Groceries,Food & Dining
2022-11-15,Stateline Market,-20.3,Groceries,Food & Dining
2022-11-15,EXXONMOBIL    47313788,-4.19,Gas & Fuel,Auto & Transport
2022-11-15,ACH Deposit Internet transfer from account ending in 4722,23.69,Transfer,Root
2022-11-14,MOUNTAIN LAKE LLC,-128.46,Vacation,Travel
2022-11-14,SHELL OIL XXXXXXXXXX,-4.35,Gas & Fuel,Auto & Transport
2022-11-14,SUGAR MOUNTAIN BAKERY,-12.53,Restaurants,Food & Dining
2022-11-14,CHIPOTLE 0555,-17.7,Fast Food,Food & Dining
2022-11-13,MOUNTAIN LAKE LLC,-84.55,Vacation,Travel
2022-11-13,WALKABOUT OUTFITTER  BLA,-29.48,Shopping,Root
2022-11-13,SQ *EASTERN DIVIDE BREWIN,-51.42,Restaurants,Food & Dining
2022-11-12,Fooooooood ,35.0,Restaurants,Food & Dining
2022-11-12,Food!,33.0,Income,Root
